School,Type,MedianSAT,AcceptanceRate,ExpendituresPerStudent,Top10PercentHS,GraduationPercent
Amherst,Lib Arts,1315,0.22,26636,85,93
Barnard,Lib Arts,1220,0.53,17653,69,80
Bates,Lib Arts,1240,0.36,17554,58,88
Berkeley,University,1176,0.37,23665,95,68
Bowdoin,Lib Arts,1300,0.24,25703,78,90
Brown,University,1281,0.24,24201,80,90
Bryn Mawr,Lib Arts,1255,0.56,18847,70,84
Cal Tech,University,1400,0.31,102262,98,75
Carleton,Lib Arts,1300,0.4,15904,75,80
Carnegie Mellon,University,1225,0.64,33607,52,77
Claremont McKenna,Lib Arts,1260,0.36,20377,68,74
Colby,Lib Arts,1200,0.46,18872,52,84
Colgate,Lib Arts,1258,0.38,17520,61,85
Columbia,University,1268,0.29,45879,78,90
Cornell,University,1280,0.3,37137,85,83
Davisdson,Lib Arts,1230,0.36,17721,77,89
Duke,University,1310,0.25,39504,91,91
Georgetown,University,1278,0.24,23115,79,89
Grinnell,Lib Arts,1244,0.67,22301,65,73
Hamilton,Lib Arts,1215,0.38,20722,51,85
Harvard,University,1370,0.18,46918,90,90
Haverford,Lib Arts,1285,0.35,19418,71,87
Johns Hopkins,University,1290,0.48,45460,69,86
Middlebury,Lib Arts,1255,0.25,24718,65,92
MIT,University,1357,0.3,56766,95,86
Mount Holyoke,Lib Arts,1200,0.61,23358,47,83
Northwestern,University,1230,0.47,28851,77,82
Oberlin,Lib Arts,1247,0.54,23591,64,77
Occidental,Lib Arts,1170,0.49,20192,54,72
Pomona,Lib Arts,1320,0.33,26668,79,80
Princeton,University,1340,0.17,48123,89,93
Rice,University,1327,0.24,26730,85,88
Smith,Lib Arts,1195,0.57,25271,65,87
Stanford,University,1370,0.18,61921,92,88
Swarthnore,Lib Arts,1310,0.24,27487,78,88
U Michigan,University,1195,0.6,21853,71,77
U of Chicago,University,1300,0.45,38937,74,73
U of Rochester,University,1155,0.56,38597,52,73
U Pennsylvania,University,1280,0.41,30882,87,86
U Va,University,1218,0.37,19365,77,88
UCLA,University,1142,0.43,26859,96,61
UNC,University,1109,0.32,19684,82,73
Vassar,Lib Arts,1287,0.43,20179,53,84
Washington U (MO),University,1225,0.54,39883,71,76
Washinton and Lee,Lib Arts,1234,0.29,17998,61,78
Wellesley,Lib Arts,1250,0.49,27879,76,86
Wesleyan (CT),Lib Arts,1290,0.35,19948,73,91
Williams,Lib Arts,1336,0.28,23772,86,93
Yale,University,1350,0.19,52468,90,93
